rest_id,after_epoch,before_epoch,rest_dur_s,start_ns,end_ns,mid_ns,gap_s,inside_gap,frame_idx,frame_ts_ns,video_t_s,frame_err_ms
1,1,2,5.0,1787086999366000000,1787087003366000000,1787087001366000000,10.821514,True,972,1787087001349933333,32.737933333,-16.066667
2,2,3,5.0,1787087025432000000,1787087029432000000,1787087027432000000,12.0771661,True,1754,1787087027423733333,58.811733333,-8.266667
3,3,4,7.0,1787087051386000000,1787087057386000000,1787087054386000000,13.9767605,True,2563,1787087054397766666,85.785766666,11.766666
4,4,5,5.0,1787087079380000000,1787087083380000000,1787087081380000000,11.9950543,True,3372,1787087081376055555,112.764055555,-3.944445
5,5,6,5.0,1787087104169000000,1787087108169000000,1787087106169000000,10.8037201,True,4116,1787087106183100000,137.5711,14.1
6,6,7,7.0,1787087130199000000,1787087136199000000,1787087133199000000,14.033337,True,4926,1787087133190777777,164.578777777,-8.222223
7,7,8,5.0,1787087156968000000,1787087160968000000,1787087158968000000,10.7851231,True,5699,1787087158965300000,190.3533,-2.7
8,8,9,4.0,1787087181750000000,1787087184750000000,1787087183250000000,9.8134865,True,6427,1787087183238888888,214.626888888,-11.111112
9,9,10,8.0,1787087205553000000,1787087212553000000,1787087209053000000,13.8272131,True,7201,1787087209046255555,240.434255555,-6.744445
10,10,11,4.0,1787087233373000000,1787087236373000000,1787087234873000000,9.8360341,True,7976,1787087234886966666,266.274966666,13.966666
11,11,12,5.0,1787087258365000000,1787087262365000000,1787087260365000000,12.0126359,True,8740,1787087260360900000,291.7489,-4.1
12,12,13,6.0,1787087283152000000,1787087288152000000,1787087285652000000,11.792213,True,9499,1787087285668122222,317.056122222,16.122222
13,13,14,4.0,1787087308916000000,1787087311916000000,1787087310416000000,9.7829464,True,10241,1787087310408511111,341.796511111,-7.488889
14,14,15,8.0,1787087332760000000,1787087339760000000,1787087336260000000,13.9046833,True,11016,1787087336249211111,367.637211111,-10.788889
15,15,16,6.0,1787087361757000000,1787087366757000000,1787087364257000000,13.0204622,True,11856,1787087364257211111,395.645211111,0.211111
16,16,17,7.0,1787087387515000000,1787087393515000000,1787087390515000000,12.8029908,True,12644,1787087390531366666,421.919366666,16.366666
17,17,18,4.0,1787087414375000000,1787087417375000000,1787087415875000000,9.8969161,True,13404,1787087415871933333,447.259933333,-3.066667
18,18,19,7.0,1787087439419000000,1787087445419000000,1787087442419000000,14.0626632,True,14200,1787087442412833333,473.800833333,-6.166667
19,19,20,8.0,1787087466197000000,1787087473197000000,1787087469697000000,13.8102656,True,15018,1787087469687288888,501.075288888,-9.711112
20,20,21,6.0,1787087495198000000,1787087500198000000,1787087497698000000,13.0238471,True,15858,1787087497695277777,529.083277777,-2.722223
21,21,22,5.0,1787087522226000000,1787087526226000000,1787087524226000000,12.0530644,True,16654,1787087524236188888,555.624188888,10.188888
22,22,23,7.0,1787087547103000000,1787087553103000000,1787087550103000000,12.8773013,True,17430,1787087550110233333,581.498233333,7.233333
23,23,24,6.0,1787087573874000000,1787087578874000000,1787087576374000000,11.8048579,True,18218,1787087576384400000,607.7724,10.4
24,24,25,6.0,1787087599591000000,1787087604591000000,1787087602091000000,11.751392,True,18989,1787087602091733333,633.479733333,0.733333
25,25,26,8.0,1787087626673000000,1787087633673000000,1787087630173000000,15.1098126,True,19831,1787087630166411111,661.554411111,-6.588889
26,26,27,8.0,1787087655658000000,1787087662658000000,1787087659158000000,15.01576,True,20700,1787087659141344444,690.529344444,-16.655556
27,27,28,5.0,1787087683431000000,1787087687431000000,1787087685431000000,10.7925024,True,21488,1787087685415500000,716.8035,-15.5
28,28,29,4.0,1787087709414000000,1787087712414000000,1787087710914000000,10.9904358,True,22253,1787087710922777777,742.310777777,8.777777
29,29,30,8.0,1787087734426000000,1787087741426000000,1787087737926000000,15.0270414,True,23063,1787087737930488888,769.318488888,4.488888
30,30,31,5.0,1787087763454000000,1787087767454000000,1787087765454000000,12.0900816,True,23888,1787087765438333333,796.826333333,-15.666667
31,31,32,8.0,1787087788252000000,1787087795252000000,1787087791752000000,13.8025047,True,24677,1787087791745844444,823.133844444,-6.155556
32,32,33,7.0,1787087816070000000,1787087822070000000,1787087819070000000,12.843735,True,25496,1787087819053633333,850.441633333,-16.366667
33,33,34,4.0,1787087843997000000,1787087846997000000,1787087845497000000,10.9503811,True,26289,1787087845494511111,876.882511111,-2.488889
34,34,35,5.0,1787087867819000000,1787087871819000000,1787087869819000000,10.8265759,True,27019,1787087869834788888,901.222788888,15.788888
35,35,36,6.0,1787087892561000000,1787087897561000000,1787087895061000000,11.7930603,True,27776,1787087895075322222,926.463322222,14.322222
36,36,37,7.0,1787087918335000000,1787087924335000000,1787087921335000000,12.8212948,True,28564,1787087921349488888,952.737488888,14.488888
37,37,38,4.0,1787087946339000000,1787087949339000000,1787087947839000000,11.004949,True,29358,1787087947823711111,979.211711111,-15.288889
38,38,39,7.0,1787087970136000000,1787087976136000000,1787087973136000000,12.8173568,True,30117,1787087973130922222,1004.518922222,-5.077778
39,39,40,4.0,1787087998177000000,1787088001177000000,1787087999677000000,11.0441635,True,30913,1787087999671833333,1031.059833333,-5.166667
40,40,41,6.0,1787088021975000000,1787088026975000000,1787088024475000000,11.8537675,True,31657,1787088024478911111,1055.866911111,3.911111
41,41,42,6.0,1787088048973000000,1787088053973000000,1787088051473000000,13.0063943,True,32467,1787088051486611111,1082.874611111,13.611111
