epoch,offset_s,r,cond,freq
1,0.3650000000000022,0.9323023262313389,WATCHING,1.5
2,0.670000000000002,0.9771518702187618,TRACKING,1.5
3,0.7150000000000021,0.9866593015989975,TRACKING,2.5
4,0.5200000000000021,0.9932698135995514,TRACKING,1.0
5,0.4750000000000022,0.8873196287271008,WATCHING,3.5
6,0.6900000000000021,0.994963177567112,TRACKING,1.5
7,0.765000000000002,0.9814954162986315,TRACKING,3.5
8,0.43500000000000216,0.898585249484961,WATCHING,2.5
9,0.750000000000002,0.9675619959345214,TRACKING,3.5
10,0.4150000000000022,0.9041663186917271,WATCHING,2.5
11,0.745000000000002,0.9689625183803913,TRACKING,3.0
12,0.14000000000000234,0.8896066999660005,WATCHING,1.0
13,0.7300000000000021,0.9495752051845461,TRACKING,3.5
14,0.5100000000000021,0.9176675148675502,WATCHING,3.0
15,0.06000000000000238,0.3046846726382152,TRACKING,1.0
16,0.4500000000000022,0.9178337421554005,WATCHING,3.5
17,0.3550000000000022,0.949576649006758,WATCHING,1.5
18,0.7200000000000021,0.9790975007062889,TRACKING,2.5
19,0.4500000000000022,0.9317193851612555,WATCHING,3.0
20,0.7100000000000021,0.861030672742277,TRACKING,3.5
21,0.6000000000000021,0.9878112264972767,TRACKING,1.5
22,0.44000000000000217,0.9173486618476299,WATCHING,3.0
23,0.4150000000000022,0.9495798280974964,WATCHING,2.5
24,0.44500000000000217,0.9453453600945476,WATCHING,1.5
25,0.5400000000000021,0.9819864070610604,TRACKING,1.5
26,0.760000000000002,0.8721286188574479,TRACKING,3.0
27,0.4300000000000022,0.9270954690979835,WATCHING,3.0
28,0.05500000000000238,0.9201881428205207,TRACKING,1.0
29,0.865000000000002,0.9742060099067572,TRACKING,1.0
30,0.7150000000000021,0.97660969166728,TRACKING,1.5
31,0.44500000000000217,0.9490215963590564,WATCHING,2.5
32,0.13500000000000234,0.9266303510291322,WATCHING,1.5
33,0.5600000000000022,0.9359598285887242,TRACKING,3.0
34,0.2050000000000023,0.8784844758383077,WATCHING,1.0
35,0.49500000000000216,0.9319001462032648,WATCHING,3.5
36,0.16000000000000233,0.9461804316565904,WATCHING,1.0
37,0.680000000000002,0.914825052297007,TRACKING,3.0
38,0.4250000000000022,0.9231419423036663,WATCHING,1.5
39,0.660000000000002,0.9341908015183222,TRACKING,2.5
40,0.06000000000000238,0.9238189927704977,WATCHING,1.0
41,0.655000000000002,0.9701861766441648,TRACKING,2.5
42,0.43500000000000216,0.891913886228532,WATCHING,3.5
