epoch,n,inliers,offset_s,resid_median,resid_p90
1,387,387,-1.0497629771199681,0.4813276103238171,0.9391596165703325
2,389,305,-0.9776545130400821,0.8130553343182357,5.225673671042529
3,388,260,-1.0188793822935314,1.1237448803692278,4.7991532307305915
4,389,389,-0.9834375848803134,0.5680600736438025,1.1020449192944282
5,389,375,-0.9779957874670946,0.5726769975751398,1.4340377266543243
6,391,391,-0.9292206567205417,0.4798811182341623,0.9102836415394874
7,391,307,-0.9321121926406567,1.08301159453182,2.6902392906620185
8,390,356,-0.9183370618941049,0.7652818909038965,1.8569535766770524
9,392,233,-0.8928952644808865,1.625585764523397,4.331968995820899
10,391,364,-0.9057868004010013,0.7478978394986896,1.7969919633753064
11,392,278,-0.8703450029877832,1.060501840518489,3.912251214370366
12,391,294,-0.9215698722412314,0.6764244177841804,4.287289064076209
13,393,191,-0.8261280748280128,2.0560008067246978,4.667184973600581
14,391,378,-0.8540196107481278,0.6682414782769625,1.5017605419337088
15,394,203,-0.800244480001576,1.70784573886974,46.063110757013405
16,393,375,-0.823136015921691,0.5504123260046363,1.4110543214073523
17,395,395,-0.7743608851751392,0.377277765072333,0.7918764545053165
18,394,338,-0.7922524210952551,1.0004147307812774,2.347376150659167
19,396,389,-0.7484772903487031,0.5261172085026098,1.2336511905024201
20,392,106,-0.8580354929354848,5.147489075051844,14.683892418669991
21,395,253,-0.769260362188933,1.2225318482723602,16.454765560079025
22,397,387,-0.7204852314423813,0.509311795075497,1.35082630742096
23,397,396,-0.7050434340291629,0.49405091298515225,1.1759226222814068
24,398,360,-0.6762683032826112,0.5311207234994019,1.9331072362734627
25,399,332,-0.6174931725360595,0.50127110946889,2.8767046434307133
26,402,134,-0.572051375122841,2.7900722148766413,35.15511955822477
27,400,372,-0.614942911042956,0.7193700894472703,1.738688358801674
28,401,184,-0.5995011136297375,2.3913443935798786,17.36550510746075
29,395,228,-0.794059316216519,1.1051005487649737,12.090439563412824
30,399,398,-0.586950852136634,0.47955183367077264,1.24205655147882
31,402,393,-0.5531757213900823,0.5223418181022386,1.293088975085499
32,405,217,-0.43940059064353065,1.2876065519640938,18.630037109855362
33,409,87,-0.3322921265636455,7.6377390554463425,19.660298101190094
34,402,270,-0.5685169958170937,0.8685400354411006,4.82739273249822
35,403,261,-0.5064085317372087,1.241124197326166,5.240561506175701
36,404,404,-0.44263340099065684,0.36569769477475816,0.6341710280420852
37,406,98,-0.41719160357743845,6.0375706932361535,23.636991636680094
38,404,310,-0.4500831394975534,0.9436313294159564,2.748195907995504
39,406,217,-0.44964134208433504,1.7608933225404133,10.010410545697045
40,405,232,-0.41919954467111653,0.5214890377555309,26.651965347573643
41,406,260,-0.4337577472578982,1.0549664197382,8.123057369124288
42,406,348,-0.4016492831780131,0.8844060607043025,2.228075016667392
