rest_id,after_epoch,before_epoch,ts_ns,frame_idx,x0,y0,x1,y1,x2,y2,x3,y3,cross_x,cross_y
1,1,2,1787087001349933333,972,494.67,660.0,1097.33,652.0,1129.33,250.67,448.0,254.67,801.33,462.67
2,2,3,1787087027423733333,1754,486.67,658.67,1097.33,644.0,1125.33,253.33,448.0,250.67,793.33,454.67
3,3,4,1787087054397766666,2563,505.33,653.33,1116.0,638.67,1144.0,248.0,466.67,245.33,812.0,449.33
4,4,5,1787087081376055555,3372,506.67,660.0,1117.33,645.33,1145.33,254.67,468.0,252.0,813.33,456.0
5,5,6,1787087106183100000,4116,501.33,665.33,1112.0,648.0,1141.33,262.67,461.33,257.33,798.67,474.67
6,6,7,1787087133190777777,4926,500.0,661.33,1114.67,649.33,1141.33,261.33,470.67,262.67,812.0,456.0
7,7,8,1787087158965300000,5699,501.33,661.33,1116.0,649.33,1142.67,261.33,472.0,262.67,813.33,456.0
8,8,9,1787087183238888888,6427,478.67,674.67,1093.33,662.67,1120.0,274.67,449.33,276.0,790.67,469.33
9,9,10,1787087209046255555,7201,476.0,673.33,1080.0,661.33,1109.33,274.67,449.33,278.67,778.67,477.33
10,10,11,1787087234886966666,7976,473.33,681.33,1080.0,668.0,1105.33,289.33,445.33,293.33,774.67,492.0
11,11,12,1787087260360900000,8740,534.67,644.0,1129.33,660.0,1164.0,268.0,518.67,246.67,841.33,458.67
12,12,13,1787087285668122222,9499,482.67,728.0,1062.67,709.33,1073.33,332.0,453.33,340.0,769.33,530.67
13,13,14,1787087310408511111,10241,488.0,638.67,1061.33,649.33,1092.0,270.67,482.67,256.0,785.33,453.33
14,14,15,1787087336249211111,11016,490.67,641.33,1065.33,645.33,1094.67,262.67,482.67,254.67,789.33,449.33
15,15,16,1787087364257211111,11856,492.0,674.67,1066.67,677.33,1092.0,297.33,496.0,281.33,788.0,485.33
16,16,17,1787087390531366666,12644,494.67,686.67,1069.33,681.33,1092.0,309.33,492.0,292.0,788.0,496.0
17,17,18,1787087415871933333,13404,497.33,716.0,1072.0,710.67,1094.67,338.67,494.67,321.33,790.67,525.33
18,18,19,1787087442412833333,14200,498.67,666.67,1073.33,661.33,1096.0,289.33,496.0,272.0,792.0,476.0
19,19,20,1787087469687288888,15018,494.67,693.33,1056.0,689.33,1073.33,320.0,490.67,312.0,778.67,506.67
20,20,21,1787087497695277777,15858,492.0,676.0,1044.0,666.67,1054.67,312.0,484.0,305.33,772.0,489.33
21,21,22,1787087524236188888,16654,498.67,682.67,1048.0,672.0,1050.67,329.33,486.67,320.0,780.0,502.67
22,22,23,1787087550110233333,17430,516.0,696.0,1073.33,694.67,1077.33,333.33,508.0,329.33,800.0,514.67
23,23,24,1787087576384400000,18218,536.0,724.0,1077.33,720.0,1092.0,364.0,520.0,354.67,812.0,537.33
24,24,25,1787087602091733333,18989,522.67,704.0,1080.0,701.33,1093.33,332.0,517.33,324.0,804.0,517.33
25,25,26,1787087630166411111,19831,497.33,698.67,1052.0,701.33,1070.67,333.33,484.0,324.0,777.33,514.67
26,26,27,1787087659141344444,20700,513.33,676.0,1066.67,680.0,1084.0,317.33,502.67,306.67,794.67,496.0
27,27,28,1787087685415500000,21488,534.67,705.33,1086.67,698.67,1101.33,330.67,517.33,328.0,813.33,514.67
28,28,29,1787087710922777777,22253,560.0,666.67,1090.67,700.0,1116.0,354.67,573.33,314.67,837.33,509.33
29,29,30,1787087737930488888,23063,512.0,661.33,1054.67,697.33,1086.67,342.67,525.33,306.67,793.33,502.67
30,30,31,1787087765438333333,23888,528.0,685.33,1066.67,721.33,1100.0,370.67,541.33,324.0,812.0,529.33
31,31,32,1787087791745844444,24677,526.67,665.33,1073.33,704.0,1109.33,349.33,542.67,301.33,817.33,505.33
32,32,33,1787087819053633333,25496,509.33,646.67,1064.0,673.33,1089.33,304.0,518.67,284.0,796.0,474.67
33,33,34,1787087845494511111,26289,508.0,649.33,1056.0,681.33,1077.33,318.67,521.33,292.0,793.33,484.0
34,34,35,1787087869834788888,27019,549.33,681.33,1077.33,698.67,1100.0,352.0,552.0,332.0,818.67,516.0
35,35,36,1787087895075322222,27776,553.33,656.0,1084.0,662.67,1101.33,318.67,558.67,296.0,828.0,484.0
36,36,37,1787087921349488888,28564,564.0,646.67,1086.67,656.0,1109.33,316.0,557.33,300.0,834.67,478.67
37,37,38,1787087947823711111,29358,532.0,653.33,1066.67,686.67,1097.33,336.0,545.33,304.0,810.67,496.0
38,38,39,1787087973130922222,30117,518.67,681.33,1058.67,708.0,1089.33,361.33,537.33,326.67,798.67,521.33
39,39,40,1787087999671833333,30913,521.33,668.0,1058.67,702.67,1089.33,354.67,534.67,321.33,802.67,509.33
40,40,41,1787088024478911111,31657,510.67,684.0,1058.67,684.0,1065.33,325.33,501.33,320.0,786.67,504.0
41,41,42,1787088051486611111,32467,513.33,662.67,1062.67,669.33,1076.0,310.67,501.33,308.0,793.33,489.33
