rest_id,after_epoch,before_epoch,ts_ns,frame_idx,x0,y0,x1,y1,x2,y2,x3,y3,cross_x,cross_y
1,1,2,1788548636603688888,1740,682.67,620.0,1065.33,626.67,1064.0,382.67,688.0,374.67,876.0,496.0
2,2,3,1788548662677777777,2522,652.0,610.67,1033.33,590.67,1014.67,346.67,641.33,366.67,836.0,476.0
3,3,4,1788548689718822222,3333,668.0,526.67,1049.33,536.0,1052.0,290.67,676.0,280.0,862.67,404.0
4,4,5,1788548716726511111,4143,630.67,576.0,1012.0,568.0,1004.0,324.0,630.67,330.67,820.0,445.33
5,5,6,1788548741566922222,4888,665.33,544.0,1050.67,538.67,1040.0,290.67,662.67,298.67,854.67,414.67
6,6,7,1788548766440677777,5634,612.0,582.67,996.0,564.0,981.33,318.67,604.0,336.0,798.67,446.67
7,7,8,1788548790814511111,6365,649.33,537.33,1032.0,529.33,1024.0,282.67,646.67,290.67,838.67,405.33
8,8,9,1788548816621877777,7139,681.33,536.0,1065.33,537.33,1061.33,290.67,685.33,290.67,874.67,409.33
9,9,10,1788548842429244444,7913,686.67,530.67,1073.33,536.0,1070.67,286.67,692.0,285.33,881.33,405.33
10,10,11,1788548867269666666,8658,686.67,534.67,1072.0,536.0,1068.0,288.0,688.0,286.67,880.0,406.67
11,11,12,1788548893310433333,9439,662.67,537.33,1046.67,514.67,1025.33,268.0,648.0,292.0,846.67,398.67
12,12,13,1788548919384544444,10221,666.67,562.67,1046.67,541.33,1028.0,296.0,653.33,318.67,849.33,425.33
13,13,14,1788548945692044444,11010,712.0,548.0,1098.67,526.67,1078.67,278.67,700.0,302.67,897.33,409.33
14,14,15,1788548973700044444,11850,800.0,432.0,1185.33,442.67,1181.33,194.67,802.67,185.33,994.67,306.67
15,15,16,1788549000107577777,12642,666.67,552.0,1050.67,541.33,1038.67,294.67,662.67,305.33,856.0,418.67
16,16,17,1788549025948288888,13417,650.67,700.0,1029.33,633.33,981.33,394.67,614.67,457.33,818.67,542.67
17,17,18,1788549051989055555,14198,652.0,634.67,1030.67,561.33,977.33,320.0,608.0,392.0,816.0,472.0
18,18,19,1788549078996766666,15008,692.0,620.0,1080.0,620.0,1073.33,370.67,694.67,372.0,886.67,492.0
19,19,20,1788549106838044444,15843,682.67,572.0,1070.67,560.0,1057.33,310.67,678.67,324.0,873.33,437.33
20,20,21,1788549133178900000,16633,682.67,609.33,1069.33,586.67,1049.33,338.67,673.33,361.33,868.0,469.33
21,21,22,1788549158552811111,17394,689.33,560.0,1076.0,516.0,1044.0,269.33,662.67,312.0,869.33,409.33
22,22,23,1788549184893666666,18184,681.33,602.67,1070.67,600.0,1062.67,349.33,682.67,352.0,876.0,470.67
23,23,24,1788549211434577777,18980,609.33,642.67,972.0,505.33,881.33,277.33,526.67,409.33,746.67,453.33
24,24,25,1788549236208311111,19723,550.67,564.0,937.33,532.0,916.0,286.67,536.0,313.33,736.0,418.67
25,25,26,1788549263249366666,20534,610.67,592.0,994.67,529.33,950.67,285.33,576.0,344.0,782.67,432.0
