epoch,waveFreq,SHOW_LASER,REST_DURATION,TRIAL_DURATION,TRACKING_THRESHOLD,SHOW_ASTEROID_PATH
1,1.5,FALSE,5,14,0.25,FALSE
2,1.5,TRUE,5,14,0.25,FALSE
3,2.5,TRUE,7,14,0.25,FALSE
4,1.5,TRUE,5,14,0.25,FALSE
5,3.5,FALSE,5,14,0.25,FALSE
6,3.5,TRUE,5,14,0.25,FALSE
7,2.5,FALSE,4,14,0.25,FALSE
8,3.5,TRUE,8,14,0.25,FALSE
9,2.5,FALSE,4,14,0.25,FALSE
10,1.5,FALSE,6,14,0.25,FALSE
11,3.5,TRUE,4,14,0.25,FALSE
12,1.5,TRUE,6,14,0.25,FALSE
13,3.5,FALSE,7,14,0.25,FALSE
14,2.5,TRUE,7,14,0.25,FALSE
15,3.5,TRUE,6,14,0.25,FALSE
16,2.5,FALSE,6,14,0.25,FALSE
17,1.5,TRUE,4,14,0.25,FALSE
18,1.5,TRUE,8,14,0.25,FALSE
19,2.5,FALSE,8,14,0.25,FALSE
20,1.5,FALSE,5,14,0.25,FALSE
21,3.5,FALSE,6,14,0.25,FALSE
22,1.5,FALSE,7,14,0.25,FALSE
23,2.5,TRUE,4,14,0.25,FALSE
24,1.5,FALSE,6,14,0.25,FALSE
25,2.5,TRUE,6,14,0.25,FALSE
26,3.5,FALSE,8,14,0.25,FALSE
